ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
Bond01,1.834271344,30/09/2026,3.5,2,99.79672376,0.299723757,4.104428254,31/10/2025,ACT/ACT
Bond02,1.066495699,03/12/2026,0.375,1,96.71006589,0.34109589,3.838067543,31/10/2025,ACT/ACT
Bond03,1.254298376,15/12/2026,1.375,2,97.49563262,0.518442623,4.200022139,31/10/2025,ACT/ACT
Bond04,1.970314673,17/12/2026,1.25,2,97.49851087,0.464480874,4.0017699,31/10/2025,ACT/ACT
Bond05,3.039393557,11/02/2027,1.125,1,97.30571425,0.807534247,3.976645529,31/10/2025,ACT/ACT
Bond06,1.087022373,04/04/2027,2.125,1,98.75450274,1.22260274,3.932870372,31/10/2025,ACT/ACT
Bond07,1.683265053,09/07/2027,4.5,2,101.9848317,1.394021739,4.173820839,31/10/2025,ACT/ACT
Bond08,2.294997002,15/07/2027,1.5,2,96.24023739,0.440217391,4.112901016,31/10/2025,ACT/ACT
Bond09,1.70531099,08/12/2027,0.625,2,93.08896929,0.24760929,4.260714288,31/10/2025,ACT/ACT
Bond10,1.519018711,12/12/2027,5,2,103.3678595,1.926229508,4.323141889,31/10/2025,ACT/ACT
Bond11,1.32181074,12/01/2028,5,2,102.8278022,1.508152174,4.408394688,31/10/2025,ACT/ACT
Bond12,1.329194626,13/01/2028,5.248,2,103.4526357,1.568695652,4.385117857,31/10/2025,ACT/ACT
Bond13,1.715909611,12/10/2028,1.625,2,93.18112143,0.084821429,4.179269782,31/10/2025,ACT/ACT
Bond14,0.914858833,27/11/2028,6.125,1,111.131165,5.665625,4.190574206,31/10/2025,30E/360
Bond15,1.925896818,30/11/2028,5.375,2,105.3099907,2.249320652,4.348748894,31/10/2025,ACT/ACT
Bond16,2.157525923,14/12/2028,0.75,2,90.85871607,0.284836066,4.032715033,31/10/2025,ACT/ACT
Bond17,1.523204587,22/03/2029,4.5,1,104.3410951,2.749315068,3.972610956,31/10/2025,ACT/ACT
Bond18,1.293424629,03/05/2029,1.8,1,94.41963274,0.89260274,3.805421128,31/10/2025,ACT/ACT
