ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
XX0000100,1,03/12/2026,2.5,1,96.99024781,0.371917808,3.859016046,30/11/2025,ACT/ACT
XX0000101,1,15/12/2026,2.5,2,97.87022754,0.631147541,4.153267869,30/11/2025,ACT/ACT
XX0000102,1,17/12/2026,2.5,2,97.81288989,0.566939891,4.001463541,30/11/2025,ACT/ACT
XX0000103,1,11/02/2027,2.5,1,97.59901,0.9,3.993751785,30/11/2025,ACT/ACT
XX0000104,1,04/04/2027,2.5,1,99.03795027,1.397260274,3.956820143,30/11/2025,ACT/ACT
XX0000105,1,09/07/2027,2.5,2,102.2923996,1.760869565,4.195563288,30/11/2025,ACT/ACT
XX0000106,1,15/07/2027,2.5,2,96.57317,0.5625,4.102008302,30/11/2025,ACT/ACT
XX0000107,1,08/12/2027,2.5,2,93.3338688,0.298838798,4.301932151,30/11/2025,ACT/ACT
XX0000108,1,12/12/2027,2.5,2,103.6717556,2.336065574,4.352208783,30/11/2025,ACT/ACT
XX0000109,1,12/01/2028,2.5,2,103.2159609,1.91576087,4.395290333,30/11/2025,ACT/ACT
XX0000110,1,13/01/2028,2.5,2,103.7726017,1.996521739,4.406586304,30/11/2025,ACT/ACT
XX0000111,1,12/10/2028,2.5,2,93.38892,0.21875,4.221905798,30/11/2025,ACT/ACT
XX0000112,1,27/11/2028,2.5,1,105.2991517,0.051041667,4.22058286,30/11/2025,ACT/ACT
XX0000113,1,30/11/2028,2.5,2,102.95474,0,4.360936653,30/11/2025,ACT/ACT
XX0000114,1,14/12/2028,2.5,2,90.82043148,0.346311475,4.15993425,30/11/2025,ACT/ACT
XX0000115,1,22/03/2029,2.5,1,104.6262181,3.119178082,3.989057506,30/11/2025,ACT/ACT
XX0000116,1,03/05/2029,2.5,1,94.52012795,1.040547945,3.868304193,30/11/2025,ACT/ACT
XX0000117,1,31/07/2029,2.5,2,98.0246813,1.011141304,3.969814946,30/11/2025,ACT/ACT
XX0000118,1,30/08/2029,2.5,1,102.5059193,1.146849315,4.145931557,30/11/2025,ACT/ACT
XX0000119,1,21/09/2029,2.5,2,90.99722652,0.314226519,4.3504635,30/11/2025,ACT/ACT
XX0000120,1,05/10/2029,2.5,2,101.2379585,0.711538462,4.522961788,30/11/2025,ACT/ACT
XX0000121,1,12/10/2029,2.5,2,100.9818492,0.605769231,4.440007832,30/11/2025,ACT/ACT
XX0000122,1,07/12/2029,2.5,2,105.0036279,2.380327869,4.277868212,30/11/2025,ACT/ACT
XX0000123,1,12/12/2029,2.5,2,103.92135,2.28,4.47970208,30/11/2025,ACT/ACT
XX0000124,1,10/01/2030,2.5,2,104.0485948,1.942934783,4.481970788,30/11/2025,ACT/ACT
XX0000125,1,31/01/2030,2.5,1,111.9497533,5.208333333,4.437271045,30/11/2025,ACT/ACT
XX0000126,1,25/02/2030,2.5,2,104.9232394,1.616319444,5.310389966,30/11/2025,ACT/ACT
XX0000127,1,28/10/2030,2.5,2,101.1639489,0.426098901,4.581088959,30/11/2025,ACT/ACT
XX0000128,1,01/11/2030,2.5,2,101.6273537,0.985063674,4.705640767,30/11/2025,ACT/ACT
XX0000129,1,10/12/2030,2.5,1,87.30005274,0.97260274,4.061239287,30/11/2025,ACT/ACT
XX0000130,1,19/12/2030,2.5,2,109.8218678,2.571527778,4.187160165,30/11/2025,ACT/ACT
XX0000131,1,11/03/2031,2.5,1,115.8124327,4.97260274,4.513938159,30/11/2025,ACT/ACT
XX0000132,1,15/04/2031,2.5,2,102.1897008,0.642230769,4.807547379,30/11/2025,ACT/ACT
XX0000133,1,30/04/2031,2.5,2,102.5258086,0.415178571,4.48060215,30/11/2025,ACT/ACT
XX0000134,1,27/08/2031,2.5,2,101.8331128,1.226222826,4.680597166,30/11/2025,ACT/ACT
XX0000135,1,04/04/2032,2.5,1,91.23430562,1.643835616,4.415255922,30/11/2025,ACT/ACT
XX0000136,1,14/07/2032,2.5,2,93.75927152,1.227581522,4.621291559,30/11/2025,ACT/ACT
XX0000137,1,21/09/2032,2.5,1,105.0663167,0.982876712,4.394945009,30/11/2025,ACT/ACT
XX0000138,1,29/09/2032,2.5,2,101.6341436,0.856353591,4.922736128,30/11/2025,ACT/ACT
XX0000139,1,23/06/2033,2.5,1,80.58556973,0.602739726,4.563304673,30/11/2025,ACT/ACT
XX0000140,1,27/03/2034,2.5,2,107.597185,0.984375,4.710814777,30/11/2025,ACT/ACT
XX0000141,1,28/09/2035,2.5,2,104.6040167,0.904166667,4.830017937,30/11/2025,ACT/ACT
XX0000142,1,22/03/2036,2.5,1,100.8089958,3.292465753,5.061991702,30/11/2025,ACT/ACT
XX0000143,1,13/07/2036,2.5,2,104.5538761,2.052826087,4.962174524,30/11/2025,ACT/ACT
XX0000144,1,04/11/2036,2.5,1,98.52387438,0.356164384,5.223243246,30/11/2025,ACT/ACT
XX0000145,1,05/05/2037,2.5,1,105.9292551,3.149315068,5.167802753,30/11/2025,ACT/ACT
XX0000146,1,07/12/2038,2.5,1,103.7279623,5.026712329,5.265059546,30/11/2025,ACT/ACT
XX0000147,1,19/01/2039,2.5,2,99.61176833,1.773958333,5.167330348,30/11/2025,ACT/ACT
XX0000148,1,19/06/2039,2.5,1,71.84022329,1.067123288,5.486474113,30/11/2025,ACT/ACT
XX0000149,1,10/04/2041,2.5,1,89.30105753,2.724657534,5.570687487,30/11/2025,ACT/ACT
XX0000150,1,23/05/2041,2.5,1,100.8776803,2.747260274,5.428271088,30/11/2025,ACT/ACT
XX0000151,1,31/07/2042,2.5,2,82.89155826,1.193478261,5.331283976,30/11/2025,ACT/ACT
XX0000152,1,10/09/2042,2.5,1,82.04314178,0.832191781,5.490634496,30/11/2025,ACT/ACT
XX0000153,1,13/03/2043,2.5,1,92.17411699,3.230136986,5.505629405,30/11/2025,ACT/ACT
XX0000154,1,14/07/2052,2.5,2,74.23221554,1.369225543,5.675653743,30/11/2025,ACT/ACT
XX0000155,1,10/09/2052,2.5,1,46.40457616,0.388356164,5.747187964,30/11/2025,ACT/ACT
XX0000156,1,17/10/2052,2.5,2,76.8683667,0.453296703,5.501143875,30/11/2025,ACT/ACT
XX0000157,1,11/04/2057,2.5,2,49.90786593,0.309065934,5.811046866,30/11/2025,ACT/ACT
XX0000158,1,19/06/2059,2.5,1,55.53573206,1.179452055,5.708181782,30/11/2025,ACT/ACT
XX0000159,1,03/08/2060,2.5,1,96.61278726,1.75239726,5.716652244,30/11/2025,ACT/ACT
XX0000160,1,04/06/2061,2.5,2,39.90479044,0.794740437,5.664534652,30/11/2025,ACT/ACT
XX0000161,1,27/06/2078,2.5,2,48.76191934,1.001639344,5.384635745,30/11/2025,ACT/ACT
XX0000162,1,08/12/2117,2.5,1,49.3738811,2.488241096,5.472180692,30/11/2025,ACT/ACT
