ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
XS2464407514,0.909937196,04/04/2027,2.125,1,99.53986233,2.101712329,4.780329005,31/03/2026,ACT/ACT
XS2742532158,1.379564423,09/07/2027,4.5,2,100.3478361,1.006906077,5.097344138,31/03/2026,ACT/ACT
XS2429214294,1.909172338,15/07/2027,1.5,2,96.13919348,0.310773481,4.925840132,31/03/2026,ACT/ACT
XS2281152822,1.426192624,08/12/2027,0.625,2,93.13827473,0.194024725,5.096204512,31/03/2026,ACT/ACT
XS2732133090,1.24029238,12/12/2027,5,2,101.1960227,1.497252747,5.249706896,31/03/2026,ACT/ACT
XS2574218561,1.081672551,12/01/2028,5,2,100.8148781,1.077348066,5.217541186,31/03/2026,ACT/ACT
XS2565082901,1.08359675,13/01/2028,5.248,2,101.1426373,1.116287293,5.295775415,31/03/2026,ACT/ACT
XS2429208056,1.429277376,12/10/2028,1.625,2,92.83703857,0.758928571,5.055342348,31/03/2026,ACT/ACT
XS0092541969,0.728219508,27/11/2028,6.125,1,105.1478283,2.092708333,4.85888907,31/03/2026,30E/360
XS2729188644,1.576966649,30/11/2028,5.375,2,102.327276,1.796616022,5.222772451,31/03/2026,ACT/ACT
XS2285179763,1.803319095,14/12/2028,0.75,2,90.02751703,0.220467033,4.869821334,31/03/2026,ACT/ACT
XS3285554096,2.28993076,13/02/2029,4.125,1,98.80647301,0.519863014,4.773088177,31/03/2026,ACT/ACT
XS2787862346,1.2847078,22/03/2029,4.5,1,99.4754189,0.110958904,4.733088862,31/03/2026,ACT/ACT
XS1608101652,1.088442928,03/05/2029,1.8,1,93.84196027,1.637260274,4.560144069,31/03/2026,ACT/ACT
XS1269175466,2.222056818,31/07/2029,3.05,2,95.62994945,0.497099448,4.693750954,31/03/2026,ACT/ACT
XS0228265574,0.63007384,30/08/2029,4.55,1,101.5926755,2.655205479,4.886628735,31/03/2026,ACT/ACT
XS2055110758,1.396983971,21/09/2029,1.625,2,89.24316761,0.044157609,5.118882027,31/03/2026,ACT/ACT
XS2892966032,1.243340995,05/10/2029,4.625,2,100.4999098,2.24896978,5.242522994,31/03/2026,ACT/ACT
XS2899774579,0.931122024,12/10/2029,4.5,2,100.3261484,2.101648352,5.118393778,31/03/2026,ACT/ACT
XS2730682528,1.572494863,07/12/2029,4.95,2,101.7055847,1.550274725,4.961394369,31/03/2026,ACT/ACT
XS2837824254,1.250784202,12/12/2029,4.88,2,100.7583387,1.461318681,5.153337634,31/03/2026,ACT/ACT
XS2570858303,1.870100939,10/01/2030,5,2,100.9707524,1.104972376,5.10062962,31/03/2026,ACT/ACT
XS0106655235,0.34618625,31/01/2030,6.25,1,105.7497167,1.041666667,4.868083933,31/03/2026,ISMA-30/360
XS0107203381,0.550280501,25/02/2030,6.125,2,101.6385261,0.595486111,5.905089786,31/03/2026,ISMA-30/360
XS3168797135,1.245305049,28/10/2030,4.7,2,100.0353515,1.988461538,5.251040887,31/03/2026,ACT/ACT
XS3173764054,1.249045524,01/11/2030,4.8026,2,100.7883326,2.590352624,5.316958794,31/03/2026,ACT/ACT
XS3260285179,1.222629047,12/11/2030,4.5,2,98.65319326,0.96961326,5.133202081,31/03/2026,ACT/ACT
XS2228291279,1.334028882,10/12/2030,1,1,85.44499959,0.304109589,4.588009748,31/03/2026,ACT/ACT
XS0121617517,1.648713536,19/12/2030,5.75,2,105.8253844,1.613194444,4.797626625,31/03/2026,30E/360
XS0416848793,2.853963144,11/03/2031,6.875,1,108.2322823,0.376712329,5.038829858,31/03/2026,ACT/ACT
XS2800802501,0.787015559,15/04/2031,5.082,2,101.1714369,2.331576923,5.418477537,31/03/2026,ACT/ACT
XS2811733240,1.255196768,30/04/2031,4.875,2,100.9984543,2.035714286,5.173587059,31/03/2026,ACT/ACT
XS3300297572,1.374995984,19/08/2031,4.6965,1,97.33674493,0.514684932,5.396063087,31/03/2026,ACT/ACT
XS3162369527,1.227515085,27/08/2031,4.75,2,98.7610895,0.419889503,5.168865363,31/03/2026,ACT/ACT
XS2464407860,1.691592443,04/04/2032,2.5,1,89.65870274,2.47260274,5.022266463,31/03/2026,ACT/ACT
XS3268963496,1.21950003,13/06/2032,4.75,2,97.59269769,1.004807692,5.477096694,31/03/2026,ACT/ACT
XS2496686309,0.712818678,14/07/2032,3.25,2,90.89682044,0.682320442,5.15110483,31/03/2026,ACT/ACT
XS2689046626,1.295794462,21/09/2032,5.125,1,103.3429793,2.681849315,4.996242013,31/03/2026,ACT/ACT
