ISIN,Index Weight,Maturity Date,Coupon in %,Coupon Frequency,Dirty Price,Accrued Interest,Annual Yield,Report Date,Day Count
XS2742532158,1.379246649,09/07/2027,4.5,2,100.1399417,0.269021739,4.692711431,31/07/2026,ACT/ACT
XS2429214294,1.908165754,15/07/2027,1.5,2,97.29460739,0.065217391,4.541308079,31/07/2026,ACT/ACT
XS2671666688,1.096114341,23/08/2027,6.5,2,104.5757766,2.837016575,4.856901485,31/07/2026,ACT/ACT
XS2281152822,1.419581811,08/12/2027,0.625,2,94.74269546,0.090505464,4.801750415,31/07/2026,ACT/ACT
XS2732133090,1.211190385,12/12/2027,5,2,100.9285489,0.669398907,4.854852679,31/07/2026,ACT/ACT
XS2574218561,1.080286921,12/01/2028,5,2,100.3810022,0.258152174,4.969315682,31/07/2026,ACT/ACT
XS2565082901,1.084859139,13/01/2028,5.248,2,100.6896557,0.256695652,4.993968091,31/07/2026,ACT/ACT
XS2429208056,1.408449561,12/10/2028,1.625,2,93.67677798,0.488387978,4.990464431,31/07/2026,ACT/ACT
XS0092541969,0.723650073,27/11/2028,6.125,1,106.904605,4.134375,4.822237029,31/07/2026,30E/360
XS2729188644,1.528592795,30/11/2028,5.375,2,101.7361107,0.905570652,5.0520843,31/07/2026,ACT/ACT
XS2285179763,1.787732295,14/12/2028,0.75,2,91.42387148,0.096311475,4.708476985,31/07/2026,ACT/ACT
XS3285554096,2.266021972,13/02/2029,4.125,1,100.1246801,1.898630137,4.874037978,31/07/2026,ACT/ACT
XS2787862346,1.218338122,22/03/2029,4.5,1,101.0139085,1.615068493,4.737654351,31/07/2026,ACT/ACT
XS1608101652,1.055164129,03/05/2029,1.8,1,93.34530411,0.43890411,4.595860229,31/07/2026,ACT/ACT
XS1269175466,2.202813936,31/07/2029,3.05,2,95.72596,0,4.644015046,31/07/2026,ACT/ACT
XS0228265574,0.622055568,30/08/2029,4.55,1,103.1094174,4.176027397,4.928475669,31/07/2026,ACT/ACT
XS2055110758,1.370097575,21/09/2029,1.625,2,90.76847044,0.582880435,5.105208542,31/07/2026,ACT/ACT
XS2892966032,1.209937471,05/10/2029,4.625,2,100.1403336,1.478483607,5.148303786,31/07/2026,ACT/ACT
XS2899774579,0.902108672,12/10/2029,4.5,2,99.66251902,1.352459016,5.141025302,31/07/2026,ACT/ACT
XS2730682528,1.524392372,07/12/2029,4.95,2,100.9160079,0.730327869,4.946964313,31/07/2026,ACT/ACT
XS2837824254,1.208123371,12/12/2029,4.88,2,100.0726133,0.653333333,5.132079318,31/07/2026,ACT/ACT
XS2570858303,1.854758043,10/01/2030,5,2,99.85866609,0.285326087,5.201698598,31/07/2026,ACT/ACT
XS0106655235,0.342365809,31/01/2030,6.25,1,107.19203,3.125,4.944134548,31/07/2026,ISMA-30/360
XS0107203381,0.546511002,25/02/2030,6.125,2,103.5519028,2.637152778,5.920880699,31/07/2026,ISMA-30/360
XS3168797135,1.203570986,28/10/2030,4.7,2,99.50665383,1.207103825,5.215547118,31/07/2026,ACT/ACT
XS3173764054,1.206639977,01/11/2030,4.8026,2,99.79879946,1.187599457,5.235312236,31/07/2026,ACT/ACT
XS3260285179,1.189613871,12/11/2030,4.5,2,98.35091087,0.97826087,5.257575201,31/07/2026,ACT/ACT
XS2228291279,1.312609626,10/12/2030,1,1,86.61116616,0.638356164,4.623378727,31/07/2026,ACT/ACT
XS0121617517,1.584929089,19/12/2030,5.75,2,104.6306611,0.654861111,4.790058868,31/07/2026,30E/360
XS0416848793,2.669530257,11/03/2031,6.875,1,110.0702375,2.674657534,5.028217917,31/07/2026,ACT/ACT
XS2800802501,0.762548634,15/04/2031,5.082,2,100.7903013,1.485721311,5.317575392,31/07/2026,ACT/ACT
XS2811733240,1.218178339,30/04/2031,4.875,2,100.2688598,1.225409836,5.167621052,31/07/2026,ACT/ACT
XS3300297572,1.349807762,19/08/2031,4.6965,1,99.15866397,2.084473973,5.373196914,31/07/2026,ACT/ACT
XS3162369527,1.211400983,27/08/2031,4.75,2,99.99052823,2.020718232,5.277404848,31/07/2026,ACT/ACT
XS2464407860,1.617365693,04/04/2032,2.5,1,88.58555918,0.808219178,5.025361922,31/07/2026,ACT/ACT
XS3268963496,1.184041523,13/06/2032,4.75,2,97.46377082,0.62295082,5.456199445,31/07/2026,ACT/ACT
XS2496686309,0.702124327,14/07/2032,3.25,2,90.83426587,0.15013587,5.147261198,31/07/2026,ACT/ACT
XS2689046626,1.277137826,21/09/2032,5.125,1,104.993303,4.394863014,5.005713491,31/07/2026,ACT/ACT
XS3190849912,1.517127762,29/09/2032,5,2,99.61616261,1.684782609,5.470457741,31/07/2026,ACT/ACT
XS3285560903,3.75960556,13/11/2032,4.625,1,98.48496712,2.128767123,5.320575624,31/07/2026,ACT/ACT
XS3261281631,1.777237961,15/12/2032,4.75,2,97.25621454,0.596994536,5.44705552,31/07/2026,ACT/ACT
XS2354308194,0.9637884,23/06/2033,1.375,1,78.76583069,0.143150685,5.1335731,31/07/2026,ACT/ACT
XS0419834931,3.171299413,27/03/2034,5.625,2,104.140355,1.921875,5.337324835,31/07/2026,30E/360
XS0202077953,2.514811423,28/09/2035,5.25,2,100.5765667,1.779166667,5.490554907,31/07/2026,30E/360
XS3218668328,0.824672801,25/11/2035,5.125,2,98.35949424,0.933084239,5.555354827,31/07/2026,ACT/ACT
XS2787862429,1.169735382,22/03/2036,4.75,1,95.48707452,1.704794521,5.597931638,31/07/2026,ACT/ACT
XS0161353999,0.32620358,13/07/2036,5.396,2,99.49604478,0.263934783,5.633194382,31/07/2026,ACT/ACT
XS0702029132,2.2474865,04/11/2036,5,1,97.49692151,3.684931507,5.813842669,31/07/2026,ACT/ACT
XS0298709188,0.841081677,05/05/2037,5.5,1,99.9168289,1.310958904,5.673150539,31/07/2026,ACT/ACT
XS2724943639,1.19752235,07/12/2038,5.125,1,97.30675863,3.31369863,5.816284285,31/07/2026,ACT/ACT
XS0279211832,1.083151993,19/01/2039,4.875,2,92.85188833,0.148958333,5.781587039,31/07/2026,30E/360
